,id,srm,hex
1119,yFgliy,,
1120,bNH2lS,,
1121,QDsxVU,12.0,CF6900
1122,9kidXn,,
1123,kl3eGr,,
1124,JPh7jg,,
1125,tDfSBC,,
1126,lzMlFr,,
1127,PlYjlv,,
1128,xrXcxV,,
1129,EJqnqq,,
1130,XopZsK,,
1131,JBNxZS,,
1132,AsqNnP,,
1133,beqHla,,
1134,rOIp9P,,
1135,zBsztI,,
1136,fZHUsI,,
1137,TA8wNC,,
1138,9TxyEn,,
1139,c2Eos4,,
1140,e5s2gr,,
1141,bmUIRi,19.0,A13700
1142,7ojQP8,14.0,C35900
1143,w0MHLw,27.0,701400
1144,ldFBwI,,
1145,k96PmU,,
1146,r7QKkQ,,
1147,bTBaaZ,,
1148,Erz209,,
1149,83FYPn,,
1150,OqyGKw,,
1151,B4XeLe,,
1152,MRc7Cq,,
1153,WU2zZ3,,
1154,Zt8Gbe,,
1155,97Il6g,,
1156,eT12Zg,,
1157,1v0Lwd,,
1158,rnLgMS,,
1159,3AIK7f,,
1160,SmLlGS,,
1161,YIBEB9,,
1162,7ZOpfe,,
1163,3WwFZA,,
1164,KI5dFY,,
1165,M5ewMU,,
1166,4BVNfW,,
1167,82Uwko,,
1168,SMmXvT,,
1169,Tuj2jj,,
1170,9fPhZN,,
1171,4e7hzy,11.0,D77200
1172,K31rQL,,
1173,XAFA5M,,
1174,nZQ5Em,,
1175,a9NrTK,,
1176,OHfUpm,,
1177,VKFdWG,,
1178,09U0wW,,
1179,Zg0vTt,,
1180,Abskdy,,
1181,4p8Dx4,,
1182,8rqLHD,,
1183,jbRyNt,,
1184,Oy8UGM,,
1185,oq9Pfw,,
1186,A8Iqo6,,
1187,0cACKo,,
1188,qjZIZq,,
1189,vyR8L6,,
1190,rCfPf0,,
1191,FmjtuL,18.0,A63E00
1192,Jdz0DI,,
1193,sipsF1,,
1194,AuCbJ5,8.0,EA8F00
1195,igVQJs,,
1196,JAC8Wz,,
1197,JqtNUc,,
1198,Fh2Jvf,,
1199,gUFKcv,,
1200,VrC2d6,,
1201,lR1ZG7,,
1202,NkkNPY,,
1203,0ht406,,
1204,tEaSJO,8.0,EA8F00
1205,E00SB9,,
1206,Xdp3vE,,
1207,ZsSnh7,,
1208,doGEJV,,
1209,AkCEEd,,
1210,7adE5L,15.0,BB5100
1211,RfoU3Z,,
1212,p822xZ,,
1213,QdBLwC,,
1214,gTYa1m,,
1215,OEb69h,,
